unique_trip_code,start_date,end_date,pairing_length,flight_count_by_day,airport_by_day,flight_time,duty_time,credit,fatigue_unit,usd_meals,cad_meals
C7001,07,7,1,4,"[('Day 1', [('YYC', 'YYC'), ('YYC', 'MAF'), ('MAF', 'YYC'), ('YYC', 'YYC')])]",10.3,10.3,7.16,12.3,0.00,86.12
C7002,08,8,1,3,"[('Day 1', [('YYC', 'YEG'), ('YEG', 'YVR'), ('YVR', 'YYC')])]",10.37,10.37,5.19,12.37,0.00,86.12
C7003,17,17,1,4,"[('Day 1', [('YYC', 'YYC'), ('YYC', 'MAF'), ('MAF', 'YYC'), ('YYC', 'YYC')])]",10.3,10.3,7.16,12.3,0.00,86.12
C7004,22,22,1,3,"[('Day 1', [('YYC', 'YEG'), ('YEG', 'YVR'), ('YVR', 'YYC')])]",10.37,10.37,5.19,12.37,0.00,86.12
C7005/27,27,27,1,4,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YEG'), ('YEG', 'YVR'), ('YVR', 'YYC')])]",10.54,10.54,5.49,14.54,0.00,86.12
C7005/29,29,29,1,4,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YEG'), ('YEG', 'YVR'), ('YVR', 'YYC')])]",10.54,10.54,5.49,14.54,0.00,86.12
C7006,27,27,1,4,"[('Day 1', [('YYC', 'YYC'), ('YYC', 'MAF'), ('MAF', 'YYC'), ('YYC', 'YYC')])]",10.3,10.3,7.16,12.3,0.00,86.12
C7007,02,3,2,3-1,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YOW'), ('YOW', 'YWG')]), ('Day 2', [('YWG', 'YYC')])]",24.32,13.07,11.43,17.07,0.00,126.57
C7008,04,5,2,1-1,"[('Day 1', [('YYC', 'YWG')]), ('Day 2', [('YWG', 'YYC')])]",24.32,6.25,9.0,7.25,0.00,126.57
C7009/05,05,6,2,2-3,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YXE')]), ('Day 2', [('YXE', 'YVR'), ('YVR', 'YEG'), ('YEG', 'YYC')])]",30.5,13.46,9.05,18.46,0.00,151.55
C7009/12,12,13,2,2-3,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YXE')]), ('Day 2', [('YXE', 'YVR'), ('YVR', 'YEG'), ('YEG', 'YYC')])]",30.5,13.46,9.05,18.46,0.00,151.55
C7010/06,06,7,2,4-3,"[('Day 1', [('YYC', 'YEG'), ('YEG', 'YVR'), ('YVR', 'YLW'), ('YLW', 'YVR')]), ('Day 2', [('YVR', 'LAX'), ('LAX', 'YVR'), ('YVR', 'YYC')])]",34.37,23.02,12.21,29.02,0.00,191.18
C7010/13,13,14,2,4-3,"[('Day 1', [('YYC', 'YEG'), ('YEG', 'YVR'), ('YVR', 'YLW'), ('YLW', 'YVR')]), ('Day 2', [('YVR', 'LAX'), ('LAX', 'YVR'), ('YVR', 'YYC')])]",34.37,23.02,12.21,29.02,0.00,191.18
C7010/20,20,21,2,4-3,"[('Day 1', [('YYC', 'YEG'), ('YEG', 'YVR'), ('YVR', 'YLW'), ('YLW', 'YVR')]), ('Day 2', [('YVR', 'LAX'), ('LAX', 'YVR'), ('YVR', 'YYC')])]",34.37,23.02,12.21,29.02,0.00,191.18
C7011,07,7,1,2,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YYC')])]",11.42,11.42,5.51,13.42,0.00,86.12
C7012/10,10,11,2,4-3,"[('Day 1', [('YYC', 'YEG'), ('YEG', 'YVR'), ('YVR', 'YLW'), ('YLW', 'YVR')]), ('Day 2', [('YVR', 'YXY'), ('YXY', 'YVR'), ('YVR', 'YYC')])]",37.27,21.52,11.17,27.52,0.00,191.18
C7012/16,16,17,2,4-3,"[('Day 1', [('YYC', 'YEG'), ('YEG', 'YVR'), ('YVR', 'YLW'), ('YLW', 'YVR')]), ('Day 2', [('YVR', 'YXY'), ('YXY', 'YVR'), ('YVR', 'YYC')])]",37.27,21.52,11.17,27.52,0.00,191.18
C7013/16,16,17,2,2-3,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YXE')]), ('Day 2', [('YXE', 'YVR'), ('YVR', 'YEG'), ('YEG', 'YYC')])]",30.5,13.46,9.05,18.46,0.00,151.55
C7013/21,21,22,2,2-3,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YXE')]), ('Day 2', [('YXE', 'YVR'), ('YVR', 'YEG'), ('YEG', 'YYC')])]",30.5,13.46,9.05,18.46,0.00,151.55
C7014,17,17,1,2,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YYC')])]",11.42,11.42,5.51,13.42,0.00,86.12
C7015,19,20,2,4-3,"[('Day 1', [('YYC', 'YEG'), ('YEG', 'YVR'), ('YVR', 'YLW'), ('YLW', 'YVR')]), ('Day 2', [('YVR', 'YXY'), ('YXY', 'YVR'), ('YVR', 'YYC')])]",37.27,21.52,11.17,27.52,0.00,191.18
C7016,24,25,2,4-3,"[('Day 1', [('YYC', 'YEG'), ('YEG', 'YVR'), ('YVR', 'YLW'), ('YLW', 'YVR')]), ('Day 2', [('YVR', 'LAX'), ('LAX', 'YVR'), ('YVR', 'YYC')])]",34.37,23.02,12.21,29.02,0.00,191.18
C7017,26,27,2,2-2,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YQR')]), ('Day 2', [('YQR', 'YVR'), ('YVR', 'YYC')])]",24.34,12.5,9.0,16.5,0.00,151.55
C7018,29,30,2,2-2,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YQR')]), ('Day 2', [('YQR', 'YVR'), ('YVR', 'YYC')])]",29.29,13.25,9.0,16.25,0.00,166.20
C7019,31,32,2,3-3,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'DEN'), ('DEN', 'YVR')]), ('Day 2', [('YVR', 'DEN'), ('DEN', 'YVR'), ('YVR', 'YYC')])]",38.24,23.09,14.15,28.09,0.00,191.18
C7020,03,5,3,3-4-3,"[('Day 1', [('YYC', 'YWG'), ('YWG', 'YOW'), ('YOW', 'YUL')]), ('Day 2', [('YUL', 'YSJ'), ('YSJ', 'YUL'), ('YUL', 'YQB'), ('YQB', 'YUL')]), ('Day 3', [('YUL', 'YSJ'), ('YSJ', 'YUL'), ('YUL', 'YYC')])]",56.55,26.01,14.29,34.01,0.00,296.24
C7021,05,7,3,3-3-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'DCA'), ('DCA', 'YYZ')]), ('Day 2', [('YYZ', 'ATL'), ('ATL', 'YYZ'), ('YYZ', 'DCA')]), ('Day 3', [('DCA', 'YYZ'), ('YYZ', 'YYC')])]",66.27,32.13,16.44,39.13,105.06,191.18
